,bokstav,unikode
0,A,U+0041
1,Á,U+00C1
2,Â,U+00C2
3,B,U+0042
4,C,U+0043
5,Č,U+010C
6,D,U+0044
7,Đ,U+0110
8,E,U+0045
9,F,U+0046
10,G,U+0047
11,H,U+0048
12,I,U+0049
13,Ï,U+00CF
14,J,U+004A
15,K,U+004B
16,L,U+004C
17,M,U+004D
18,N,U+004E
19,Ŋ,U+014A
20,O,U+004F
21,P,U+0050
22,Q,U+0051
23,R,U+0052
24,S,U+0053
25,Š,U+0160
26,T,U+0054
27,Ŧ,U+0166
28,U,U+0055
29,V,U+0056
30,W,U+0057
31,X,U+0058
32,Y,U+0059
33,Z,U+005A
34,Ž,U+017D
35,Æ,U+00C6
36,Ä,U+00C4
37,Ø,U+00D8
38,Ö,U+00D6
39,Å,U+00C5
40,a,U+0061
41,á,U+00E1
42,â,U+00E2
43,b,U+0062
44,c,U+0063
45,č,U+010D
46,d,U+0064
47,đ,U+0111
48,e,U+0065
49,f,U+0066
50,g,U+0067
51,h,U+0068
52,i,U+0069
53,ï,U+00EF
54,j,U+006A
55,k,U+006B
56,l,U+006C
57,m,U+006D
58,n,U+006E
59,ŋ,U+014B
60,o,U+006F
61,p,U+0070
62,q,U+0071
63,r,U+0072
64,s,U+0073
65,š,U+0161
66,t,U+0074
67,ŧ,U+0167
68,u,U+0075
69,v,U+0076
70,w,U+0077
71,x,U+0078
72,y,U+0079
73,z,U+007A
74,ž,U+017E
75,æ,U+00E6
76,ä,U+00E4
77,ø,U+00F8
78,ö,U+00F6
79,å,U+00E5
80,Ʒ,U+01B7
81,Ǯ,U+01EE
82,Ǧ,U+01E6
83,Ǥ,U+01E4
84,Ǩ,U+01E8
85,Õ,U+00D5
86,ʒ,U+0292
87,ǯ,U+01EF
88,ǧ,U+01E7
89,ǥ,U+01E5
90,ǩ,U+01E9
91,õ,U+00F5
92,é,U+00E9
93,ð,U+00F0
94,ô,U+00F4
95,û,U+00FB
96,ń,U+0144
97,ñ,U+00F1
