name,family,directory,source,serif,monospace,script,display,slab serif,small caps,pixel,blackletter,saami_eng,supports_all_characters,split
Noto Sans,Noto,Noto_Sans,https://fonts.google.com/noto/specimen/Noto+Serif?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Tiny5,Tiny5,Tiny5,https://fonts.google.com/specimen/Tiny5?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,True,False,True,True,train
Balsamiq Sans,Balsamiq Sans,Balsamiq_Sans,https://fonts.google.com/specimen/Balsamiq+Sans?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Ojuju,Ojuju,Ojuju,https://fonts.google.com/specimen/Ojuju?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,False,True,True,train
Afacad,Afacad,Afacad,https://fonts.google.com/specimen/Afacad?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Mynerve,Mynerve,Mynerve,https://fonts.google.com/specimen/Mynerve?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,True,False,False,False,False,False,True,True,train
Finlandica,Finlandica,Finlandica,https://fonts.google.com/specimen/Finlandica?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Playfair Display,Playfair Display,Playfair_Display,https://fonts.google.com/specimen/Playfair+Display?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,True,False,False,False,False,True,True,train
Noto Serif,Noto,Noto_Serif,https://fonts.google.com/noto/specimen/Noto+Serif?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,False,False,False,False,False,True,True,train
Montserrat,Montserrat,Montserrat,https://fonts.google.com/specimen/Montserrat?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
